City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
175,east london,ZA,-33.0153,27.9116,68.94,83,0,11.5,clear sky
176,praia da vitoria,PT,38.7333,-27.0667,64.76,77,20,9.8,few clouds
177,mar del plata,AR,-38.0023,-57.5575,62.62,58,40,13.8,scattered clouds
178,la orilla,MX,17.9833,-102.2333,84.36,70,59,2.82,broken clouds
179,bahia blanca,AR,-38.7196,-62.2724,72.46,29,13,13.8,few clouds
180,cidreira,BR,-30.1811,-50.2056,80.02,64,10,6.91,clear sky
181,sembakung,ID,3.8167,117.25,75.31,96,98,1.48,overcast clouds
182,kununurra,AU,-15.7667,128.7333,76.98,83,8,5.75,clear sky
183,dwarka,IN,22.2394,68.9678,81.99,61,0,12.1,clear sky
184,santa rosa,PH,14.3122,121.1114,76.98,98,100,10.92,moderate rain
185,feira,PT,40.9254,-8.5428,64.6,88,40,6.91,scattered clouds
186,mayen,DE,50.3333,7.2167,67.44,74,100,4.56,overcast clouds
187,mantua,IT,45.1667,10.7833,67.24,78,5,5.12,clear sky
188,ribeira grande,PT,38.5167,-28.7,65.77,72,40,11.99,scattered clouds
189,umm lajj,SA,25.0213,37.2685,81.37,59,35,8.21,scattered clouds
190,padang,ID,-0.9492,100.3543,77.05,87,100,2.48,overcast clouds
191,champaign,US,40.1334,-88.2001,64.87,55,0,5.75,clear sky
192,mehamn,NO,71.0357,27.8492,37.35,81,75,29.93,broken clouds
193,listvyanka,RU,51.8535,104.8693,31.87,88,100,18.95,light snow
194,genhe,CN,50.7833,121.5167,28.83,50,97,3.27,overcast clouds
195,geraldton,AU,-28.7667,114.6,63.01,63,75,17.27,broken clouds
196,vila velha,BR,-20.3297,-40.2925,85.95,76,20,17.27,few clouds
197,ordu,TR,40.9086,37.6845,46.9,89,82,0.98,broken clouds
198,roanoke rapids,US,36.4615,-77.6542,64.02,52,2,10.09,clear sky
199,caravelas,BR,-17.7125,-39.2481,83.89,59,32,11.25,scattered clouds
